Voter,Affiliation,1st,2nd,3rd,Year,Award
Aaron Falk,Salt Lake Tribune,"Gobert, Rudy -- UTA","Butler, Jimmy -- CHI","Green, Draymond -- GS",2015,MIP
Al Iannazzone,Newsday,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Whiteside, Hassan -- MIA",2015,MIP
Alan Horton,WCCO 830-AM,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2015,MIP
Andre Aldridge,Fox Sports South,"Green, Draymond -- GS","Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA",2015,MIP
Anthony Slater,Oklahoman,"Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA","Green, Draymond -- GS",2015,MIP
Antonio Harvey,Fox Sports Radio/620AM,"Gobert, Rudy -- UTA","Antetokounmpo, Giannis -- MIL","Leonard, Meyers -- POR",2015,MIP
Bill Land,Fox Sports Southwest,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Green, Draymond -- GS",2015,MIP
Bill Oram,Orange County Register,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Middleton, Khris -- MIL",2015,MIP
Bill Reiter,Foxsports.com,"Butler, Jimmy -- CHI","Thompson, Klay -- GS","Gobert, Rudy -- UTA",2015,MIP
Bill Schoening,WOAI Radio,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2015,MIP
Bill Simmons,Grantland,"Green, Draymond -- GS","Gobert, Rudy -- UTA","Butler, Jimmy -- CHI",2015,MIP
Bill Wennington,WMVP AM 1000,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Green, Draymond -- GS",2015,MIP
Bill Worrell,Root Sports Southwest,"Green, Draymond -- GS","Motiejunas, Donatas -- HOU","Butler, Jimmy -- CHI",2015,MIP
Bob Cooney,Philadelphia Daily News,"Green, Draymond -- GS","Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA",2015,MIP
Bob Rathbun,Fox Sports South,"Gobert, Rudy -- UTA","Schroder, Dennis -- ATL","Green, Draymond -- GS",2015,MIP
Brian Davis,Fox Sports Oklahoma,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Antetokounmpo, Giannis -- MIL",2015,MIP
Brian Sieman,The Beast 980 AM FM,"Butler, Jimmy -- CHI","Thompson, Klay -- GS","Whiteside, Hassan -- MIA",2015,MIP
Brian Windhorst,ESPN.com,"Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA","Irving, Kyrie -- CLE",2015,MIP
Candace Buckner,Indianapolis Star,"Thompson, Klay -- GS","Butler, Jimmy -- CHI","Cousins, DeMarcus -- SAC",2015,MIP
Cedric Maxwell,WEEI Radio,"Carroll, DeMarre -- ATL","Crowder, Jae -- BOS","Irving, Kyrie -- CLE",2015,MIP
Charles Gardner,Milwaukee Journal Sentinel,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Middleton, Khris -- MIL",2015,MIP
Chris Broussard,ESPN The Magazine,"Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA","Antetokounmpo, Giannis -- MIL",2015,MIP
Chris Dempsey,Denver Post,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Antetokounmpo, Giannis -- MIL",2015,MIP
Chris Denari,Fox Sports Indiana,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Whiteside, Hassan -- MIA",2015,MIP
Chris Haynes,Northeast Ohio Media Group/Cleveland.com,"Gobert, Rudy -- UTA","Butler, Jimmy -- CHI","Covington, Robert -- PHI",2015,MIP
Chris Mannix,Sports Illustrated,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Whiteside, Hassan -- MIA",2015,MIP
Chris Marlowe,Altitude Sports & Entertainment,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2015,MIP
Chris Sheridan,Sheridanhoops.com,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Thompson, Klay -- GS",2015,MIP
Chuck Cooperstein,ESPN 103.3,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2015,MIP
Craig Ackerman,Sportstalk 790 AM,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Green, Draymond -- GS",2015,MIP
Dan Woike,Orange County Register,"Butler, Jimmy -- CHI","Thompson, Klay -- GS","Whiteside, Hassan -- MIA",2015,MIP
Dave Johnson,106.7 The Fan,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Schroder, Dennis -- ATL",2015,MIP
Dave McMenamin,ESPN.com,"Gobert, Rudy -- UTA","Green, Draymond -- GS","Butler, Jimmy -- CHI",2015,MIP
David Aldridge,TNT,"Gobert, Rudy -- UTA","Butler, Jimmy -- CHI","Hill, George -- IND",2015,MIP
David Mayo,Mlive Media Group,"Green, Draymond -- GS","Whiteside, Hassan -- MIA","Gobert, Rudy -- UTA",2015,MIP
David Steele,Fox Sports Florida,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Whiteside, Hassan -- MIA",2015,MIP
Dei Lynam,Comcast SportsNet,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2015,MIP
Diamond Leung,Bay Area News Group/Contra Costa Times,"Green, Draymond -- GS","Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA",2015,MIP
Doris Burke,ESPN,"Butler, Jimmy -- CHI","Thompson, Klay -- GS","Gobert, Rudy -- UTA",2015,MIP
Doug Smith,The Toronto Star,"Butler, Jimmy -- CHI","Davis, Anthony -- NO","Thompson, Klay -- GS",2015,MIP
Eddie Johnson,Fox Sports Arizona,"Butler, Jimmy -- CHI","Cousins, DeMarcus -- SAC","Vucevic, Nikola -- ORL",2015,MIP
Eddie Sefko,Dallas Morning News,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Kanter, Enes -- OKC",2015,MIP
Eric Hasseltine,92.9 FM ESPN/680 AM,"Green, Draymond -- GS","Butler, Jimmy -- CHI","Gobert, Rudy -- UTA",2015,MIP
Eric Reid,Sun Sports,"Whiteside, Hassan -- MIA","Green, Draymond -- GS","Butler, Jimmy -- CHI",2015,MIP
Ernie Johnson,TNT,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Whiteside, Hassan -- MIA",2015,MIP
Ethan Skolnick,Bleacher Report,"Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA","Gobert, Rudy -- UTA",2015,MIP
Fran Blinebury,NBA.com,"Green, Draymond -- GS","Butler, Jimmy -- CHI","Gobert, Rudy -- UTA",2015,MIP
Frank Isola,Sirius Radio/New York Daily News,"Antetokounmpo, Giannis -- MIL","Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA",2015,MIP
Fred McLeod,Fox Sports Ohio,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Motiejunas, Donatas -- HOU",2015,MIP
Gary Gerould,Comcast SportsNet-CA,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Whiteside, Hassan -- MIA",2015,MIP
Gary Washburn,Boston Globe,"Gobert, Rudy -- UTA","Whiteside, Hassan -- MIA","Motiejunas, Donatas -- HOU",2015,MIP
George Blaha,WMGC / Fox Sports Detroit,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Caldwell-Pope, Kentavious -- DET",2015,MIP
Glenn Consor,106.7 The Fan,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Schroder, Dennis -- ATL",2015,MIP
Grant Napear,Comcast SportsNet-CA,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2015,MIP
Howard Beck,Bleacher Report,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Thompson, Klay -- GS",2015,MIP
Hubie Brown,ESPN,"Whiteside, Hassan -- MIA","Butler, Jimmy -- CHI","Gobert, Rudy -- UTA",2015,MIP
Ira Winderman,South Florida Sun Sentinel,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Whiteside, Hassan -- MIA",2015,MIP
Israel Guttierez,ESPN.com,"Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA","Thompson, Klay -- GS",2015,MIP
JA Adande,ESPN.com,"Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA","Antetokounmpo, Giannis -- MIL",2015,MIP
Jason Jones,Sacramento Bee,"Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA","Gobert, Rudy -- UTA",2015,MIP
Jeff McDonald,San Antonio Express-News,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Whiteside, Hassan -- MIA",2015,MIP
Jeff Turner,Fox Sports Florida,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Davis, Anthony -- NO",2015,MIP
Jeff Zillgitt,USA Today,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Whiteside, Hassan -- MIA",2015,MIP
Jerry Zgoda,Minneapolis Star Tribune,"Davis, Anthony -- NO","Butler, Jimmy -- CHI","Gobert, Rudy -- UTA",2015,MIP
Jim Barnett,Comcast SportsNet Bay Area,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Green, Draymond -- GS",2015,MIP
Jim Paschke,Fox Sports Wisconsin,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2015,MIP
Jim Petersen,Fox Sports North,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Green, Draymond -- GS",2015,MIP
Jody Genessy,Deseret News,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Whiteside, Hassan -- MIA",2015,MIP
Joe Cowley,Chicago Sun-Times,"Whiteside, Hassan -- MIA","Butler, Jimmy -- CHI","Green, Draymond -- GS",2015,MIP
Joe Freeman,The Oregonian,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Whiteside, Hassan -- MIA",2015,MIP
Joe Goodman,Miami Herald,"Whiteside, Hassan -- MIA","Butler, Jimmy -- CHI","Antetokounmpo, Giannis -- MIL",2015,MIP
Joel Meyers,Fox Sports New Orleans,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2015,MIP
John Denton,OrlandoMagic.com,"Green, Draymond -- GS","Jordan, DeAndre -- LAC","Gobert, Rudy -- UTA",2015,MIP
John Reid,New Orleans Times Picayune,"Butler, Jimmy -- CHI","Thompson, Klay -- GS","Gobert, Rudy -- UTA",2015,MIP
Jon Barry,ESPN Radio,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Antetokounmpo, Giannis -- MIL",2015,MIP
Jonathan Feigen,Houston Chronicle,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2015,MIP
KC Johnson,Chicago Tribune,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Whiteside, Hassan -- MIA",2015,MIP
Ken Berger,CBSSports.com,"Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA","Gobert, Rudy -- UTA",2015,MIP
Kevin Arnovitz,ESPN.com,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Favors, Derrick -- UTA",2015,MIP
Kevin Calabro,ESPN Radio,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Evans, Tyreke -- NO",2015,MIP
Kevin Ding,Bleacher Report,"Green, Draymond -- GS","Gobert, Rudy -- UTA","Butler, Jimmy -- CHI",2015,MIP
Lang Whitaker,NBA.com,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Green, Draymond -- GS",2015,MIP
