Voter,Affiliation,1st,2nd,3rd,Year,Award
Ailene Voisin,Sacramento Bee,"Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Harris, Gary (Den.)",2017,MIP
Andrew Sharp,Sports Illustrated,"Antetokounmpo, Giannis (Mil.)","Waiters, Dion (Mia.)","Thomas, Isaiah (Bos.)",2017,MIP
Anthony Slater,Bay Area News Group,"Antetokounmpo, Giannis (Mil.)","Jokic, Nikola (Den.)","Gobert, Rudy (Utah)",2017,MIP
Antoni Daimiel,Moviestar+,"Antetokounmpo, Giannis (Mil.)","Jokic, Nikola (Den.)","Hardaway Jr., Tim (Atl.)",2017,MIP
Ben Golliver,Sports Illustrated,"Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Thomas, Isaiah (Bos.)",2017,MIP
Bill Oram,Orange County Register,"Antetokounmpo, Giannis (Mil.)","Porter Jr., Otto (Was.)","Gobert, Rudy (Utah)",2017,MIP
Bill Simmons,The Ringer,"Antetokounmpo, Giannis (Mil.)","Jokic, Nikola (Den.)","Thomas, Isaiah (Bos.)",2017,MIP
Brent Barry,Turner,"Antetokounmpo, Giannis (Mil.)","Jokic, Nikola (Den.)","Porter Jr., Otto (Was.)",2017,MIP
Brian Lewis,New York Post,"Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Porter Jr., Otto (Was.)",2017,MIP
Brian Mahoney,Associated Press,"Jokic, Nikola (Den.)","Antetokounmpo, Giannis (Mil.)","Hardaway Jr., Tim (Atl.)",2017,MIP
Brian Windhorst,ESPN.com,"Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Jokic, Nikola (Den.)",2017,MIP
Calvin Watkins,ESPN.com,"Antetokounmpo, Giannis (Mil.)","Jokic, Nikola (Den.)","Gobert, Rudy (Utah)",2017,MIP
Charles Gardner,Milwaukee Journal-Sentinel,"Antetokounmpo, Giannis (Mil.)","Jokic, Nikola (Den.)","Porter Jr., Otto (Was.)",2017,MIP
Chris Broussard,Fox Sports,"Jokic, Nikola (Den.)","Schroder, Dennis (Atl.)","Antetokounmpo, Giannis (Mil.)",2017,MIP
Chris Webber,Turner,"Booker, Devin (Pho.)","Hardaway Jr., Tim (Atl.)","Bradley, Avery (Bos.)",2017,MIP
David Aldridge,Turner,"Antetokounmpo, Giannis (Mil.)","Johnson, James (Mia.)","Hayward, Gordon (Utah)",2017,MIP
Davide Chinellato,LaGazetta Dello Sport,"Antetokounmpo, Giannis (Mil.)","Jokic, Nikola (Den.)","Booker, Devin (Pho.)",2017,MIP
Dennis Scott,Turner,"Antetokounmpo, Giannis (Mil.)","Hardaway Jr., Tim (Atl.)","Porter Jr., Otto (Was.)",2017,MIP
Doris Burke,ABC/ESPN,"Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Thomas, Isaiah (Bos.)",2017,MIP
Doug Collins,ABC/ESPN,"Antetokounmpo, Giannis (Mil.)","Booker, Devin (Pho.)","Whiteside, Hassan (Mia.)",2017,MIP
Doug Haller,Arizona Republic,"Antetokounmpo, Giannis (Mil.)","Jokic, Nikola (Den.)","Gobert, Rudy (Utah)",2017,MIP
Doug Smith,The Toronto Star,"Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Thomas, Isaiah (Bos.)",2017,MIP
Eddie Sefko,Dallas Morning News,"Jokic, Nikola (Den.)","Booker, Devin (Pho.)","Barnes, Harrison (Dal.)",2017,MIP
Erik Horne,The Oklahoman,"Antetokounmpo, Giannis (Mil.)","Thomas, Isaiah (Bos.)","Johnson, James (Mia.)",2017,MIP
Ernie Johnson,Turner,"Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Jokic, Nikola (Den.)",2017,MIP
Flavio Tranquillo,Sky Italia,"Antetokounmpo, Giannis (Mil.)","Beal, Bradley (Was.)","Gobert, Rudy (Utah)",2017,MIP
Fran Blinebury,NBA.com,"Antetokounmpo, Giannis (Mil.)","Jokic, Nikola (Den.)","Gobert, Rudy (Utah)",2017,MIP
Frank Isola,Sirius Radio/New York Daily News,"Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Wall, John (Was.)",2017,MIP
Gary Washburn,Boston Globe,"Porter Jr., Otto (Was.)","Jokic, Nikola (Den.)","Hardaway Jr., Tim (Atl.)",2017,MIP
Howard Beck,Bleacher Report,"Antetokounmpo, Giannis (Mil.)","Jokic, Nikola (Den.)","Porter Jr., Otto (Was.)",2017,MIP
Hubie Brown,ABC/ESPN,"Jokic, Nikola (Den.)","Johnson, James (Mia.)","Capela, Clint (Hou.)",2017,MIP
J Falgoust,CSN Washington,"Beal, Bradley (Was.)","Antetokounmpo, Giannis (Mil.)","Jokic, Nikola (Den.)",2017,MIP
JA Adande,ESPN.com,"Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Jokic, Nikola (Den.)",2017,MIP
Jackie MacMullan,ESPN.com,"Antetokounmpo, Giannis (Mil.)","Jokic, Nikola (Den.)","Turner, Myles (Ind.)",2017,MIP
Jacques Monclar,BEIN Sport,"Antetokounmpo, Giannis (Mil.)","Beal, Bradley (Was.)","Johnson, James (Mia.)",2017,MIP
Jalen Rose,ABC/ESPN,"Antetokounmpo, Giannis (Mil.)","Jokic, Nikola (Den.)","Hardaway Jr., Tim (Atl.)",2017,MIP
Jared Greenberg,Turner,"Antetokounmpo, Giannis (Mil.)","Jokic, Nikola (Den.)","Beal, Bradley (Was.)",2017,MIP
Jason Jones,Sacramento Bee,"Jokic, Nikola (Den.)","Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)",2017,MIP
Jeff McDonald,San Antonio Express-News,"Antetokounmpo, Giannis (Mil.)","Jokic, Nikola (Den.)","Johnson, James (Mia.)",2017,MIP
Jeff Zillgitt,USA Today,"Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Harris, Gary (Den.)",2017,MIP
Jerry Zgoda,Minneapolis Star-Tribune,"Antetokounmpo, Giannis (Mil.)","Beal, Bradley (Was.)","Jokic, Nikola (Den.)",2017,MIP
Joe Freeman,The Oregonian,"Antetokounmpo, Giannis (Mil.)","Jokic, Nikola (Den.)","Gobert, Rudy (Utah)",2017,MIP
Joe Vardon,Cleveland.com,"Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Ingles, Joe (Utah)",2017,MIP
John Schuhmann,NBA.com,"Antetokounmpo, Giannis (Mil.)","Johnson, James (Mia.)","Jokic, Nikola (Den.)",2017,MIP
Jon Barry,ESPN Radio,"Antetokounmpo, Giannis (Mil.)","Porter Jr., Otto (Was.)","Jokic, Nikola (Den.)",2017,MIP
Jon Krawczynski,Associated Press,"Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Thomas, Isaiah (Bos.)",2017,MIP
Justin Termine,Sirius XM,"Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Thomas, Isaiah (Bos.)",2017,MIP
Justin Verrier,ESPN.com,"Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Beal, Bradley (Was.)",2017,MIP
KC Johnson,Chicago Tribune,"Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Jokic, Nikola (Den.)",2017,MIP
Keith Pompey,Philadelphia Inquirer,"Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Waiters, Dion (Mia.)",2017,MIP
Kevin Arnovitz,ESPN.com,"Antetokounmpo, Giannis (Mil.)","Porter Jr., Otto (Was.)","Turner, Myles (Ind.)",2017,MIP
Kevin Ding,Bleacher Report,"Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Porter Jr., Otto (Was.)",2017,MIP
Kevin Harlan,Turner,"Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Thomas, Isaiah (Bos.)",2017,MIP
Kevin O'Connor,The Ringer,"Antetokounmpo, Giannis (Mil.)","Thomas, Isaiah (Bos.)","Gobert, Rudy (Utah)",2017,MIP
Kristen Ledlow,Turner,"Antetokounmpo, Giannis (Mil.)","Jokic, Nikola (Den.)","Thomas, Isaiah (Bos.)",2017,MIP
Kurt Helin,NBCSports.com,"Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Johnson, James (Mia.)",2017,MIP
Lang Whitaker,NBA.com,"Antetokounmpo, Giannis (Mil.)","Jokic, Nikola (Den.)","Johnson, James (Mia.)",2017,MIP
Lee Jenkins,Sports Illustrated,"Jokic, Nikola (Den.)","Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)",2017,MIP
