Voter,Affiliation,1st,2nd,3rd,4th,5th,Year,Award
Scott Agness,The Athletic,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2018,MVP
Marv Albert,Turner Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Durant, Kevin (GSW)",2018,MVP
Sam Amick,The Athletic,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)",2018,MVP
Jason Anderson,Sacramento Bee,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)",2018,MVP
Greg Anthony,Turner Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Embiid, Joel (PHI)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
Kevin Arnovitz,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2018,MVP
Steve Aschburner,NBA.com,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","George, Paul (OKC)","Lillard, Damian (POR)",2018,MVP
Jon Barry,ESPN,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","George, Paul (OKC)","Curry, Stephen (GSW)",2018,MVP
Michelle Beadle,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","George, Paul (OKC)","Lillard, Damian (POR)",2018,MVP
Rod Beard,Detroit News,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)",2018,MVP
Howard Beck,Bleacher Report,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)","George, Paul (OKC)",2018,MVP
A. Blakely,NBC Sports Boston,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","George, Paul (OKC)",2018,MVP
Stefan Bondy,New York Daily News,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Durant, Kevin (GSW)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2018,MVP
Tim Bontemps,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Lillard, Damian (POR)","Jokic, Nikola (DEN)",2018,MVP
Mike Breen,ESPN,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Curry, Stephen (GSW)","Lillard, Damian (POR)",2018,MVP
Chris Broussard,Fox Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","George, Paul (OKC)",2018,MVP
