Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Forward (3-1),Forward (3-2),Center (3-1),Guard (3-1),Guard (3-2),Year,Award
David Aldridge,The Athletic,"Antetokounmpo, Giannis (MIL)","Tatum, Jayson (BOS)","Jokic, Nikola (DEN)","Booker, Devin (PHX)","Doncic, Luka (DAL)","DeRozan, DeMar (CHI)","Durant, Kevin (BKN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Morant, Ja (MEM)","James, LeBron (LAL)","Siakam, Pascal (TOR)","Gobert, Rudy (UTA)","Paul, Chris (PHX)","Young, Trae (ATL)",2022,All-NBA
Sam Amick,The Athletic,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Booker, Devin (PHX)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)","DeRozan, DeMar (CHI)","Towns, Karl-Anthony (MIN)","Curry, Stephen (GSW)","Morant, Ja (MEM)","James, LeBron (LAL)","Durant, Kevin (BKN)","Gobert, Rudy (UTA)","Young, Trae (ATL)","Paul, Chris (PHX)",2022,All-NBA
Jason Anderson,Sacramento Bee,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)","Durant, Kevin (BKN)","Tatum, Jayson (BOS)","Towns, Karl-Anthony (MIN)","Morant, Ja (MEM)","Curry, Stephen (GSW)","Butler, Jimmy (MIA)","James, LeBron (LAL)","Gobert, Rudy (UTA)","Young, Trae (ATL)","DeRozan, DeMar (CHI)",2022,All-NBA
Greg Anthony,Turner,"Antetokounmpo, Giannis (MIL)","Tatum, Jayson (BOS)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)","Durant, Kevin (BKN)","Adebayo, Bam (MIA)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","James, LeBron (LAL)","Siakam, Pascal (TOR)","Towns, Karl-Anthony (MIN)","DeRozan, DeMar (CHI)","Young, Trae (ATL)",2022,All-NBA
Kevin Arnovitz,ESPN,"Antetokounmpo, Giannis (MIL)","Tatum, Jayson (BOS)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","James, LeBron (LAL)","Durant, Kevin (BKN)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Morant, Ja (MEM)","Butler, Jimmy (MIA)","DeRozan, DeMar (CHI)","Towns, Karl-Anthony (MIN)","VanVleet, Fred (TOR)","Paul, Chris (PHX)",2022,All-NBA
Steve Aschburner,NBA.com,"Antetokounmpo, Giannis (MIL)","Tatum, Jayson (BOS)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)","DeRozan, DeMar (CHI)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Morant, Ja (MEM)","Curry, Stephen (GSW)","Siakam, Pascal (TOR)","Durant, Kevin (BKN)","Towns, Karl-Anthony (MIN)","Paul, Chris (PHX)","Young, Trae (ATL)",2022,All-NBA
Antoine Bancharel,L'Equipe / Canal+,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Morant, Ja (MEM)","Doncic, Luka (DAL)","Durant, Kevin (BKN)","Tatum, Jayson (BOS)","Gobert, Rudy (UTA)","Booker, Devin (PHX)","Curry, Stephen (GSW)","Siakam, Pascal (TOR)","DeRozan, DeMar (CHI)","Towns, Karl-Anthony (MIN)","Butler, Jimmy (MIA)","Young, Trae (ATL)",2022,All-NBA
Renjun Bao,Tencent,"Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Booker, Devin (PHX)","Tatum, Jayson (BOS)","Durant, Kevin (BKN)","Towns, Karl-Anthony (MIN)","Morant, Ja (MEM)","James, LeBron (LAL)","DeRozan, DeMar (CHI)","Siakam, Pascal (TOR)","Gobert, Rudy (UTA)","Curry, Stephen (GSW)","Young, Trae (ATL)",2022,All-NBA
Howard Beck,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","Tatum, Jayson (BOS)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Siakam, Pascal (TOR)","Durant, Kevin (BKN)","Embiid, Joel (PHI)","Morant, Ja (MEM)","Booker, Devin (PHX)","DeRozan, DeMar (CHI)","James, LeBron (LAL)","Towns, Karl-Anthony (MIN)","Young, Trae (ATL)","Paul, Chris (PHX)",2022,All-NBA
Tim Bontemps,ESPN,"Antetokounmpo, Giannis (MIL)","Durant, Kevin (BKN)","Jokic, Nikola (DEN)","Booker, Devin (PHX)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Morant, Ja (MEM)","Curry, Stephen (GSW)","James, LeBron (LAL)","DeRozan, DeMar (CHI)","Towns, Karl-Anthony (MIN)","Paul, Chris (PHX)","Young, Trae (ATL)",2022,All-NBA
